epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62978,1.97258,3.26409,1.54201,0.04669,0.36361,0.12291,0.05807,1.53956,3.30214,1.33884,0.000407986,0.000407986,0.000407986
2,15.0261,1.45954,2.00626,1.23686,0.68157,0.194,0.23067,0.11553,1.59222,2.59038,1.48997,0.000816489,0.000816489,0.000816489
3,20.5712,1.40104,1.75483,1.24672,0.66388,0.45001,0.47304,0.2526,1.43268,1.58139,1.34101,0.00121674,0.00121674,0.00121674
4,25.6267,1.39404,1.6152,1.22614,0.74465,0.46047,0.53324,0.319,1.36128,1.70174,1.29981,0.00121287,0.00121287,0.00121287
5,30.4285,1.36525,1.49052,1.20951,0.77779,0.52922,0.56419,0.34616,1.35172,1.3698,1.26917,0.0012005,0.0012005,0.0012005
6,35.2885,1.33691,1.4235,1.18781,0.60142,0.60834,0.64031,0.37942,1.29654,1.32698,1.24929,0.00118812,0.00118812,0.00118812
7,39.9911,1.32263,1.32136,1.18233,0.60974,0.64723,0.675,0.38944,1.33781,1.21991,1.26958,0.00117575,0.00117575,0.00117575
8,44.6308,1.31478,1.29873,1.18614,0.61923,0.64646,0.66941,0.41323,1.29579,1.14852,1.20813,0.00116337,0.00116337,0.00116337
9,49.3245,1.29169,1.23209,1.16486,0.69483,0.66469,0.70099,0.42496,1.29931,1.16013,1.28053,0.001151,0.001151,0.001151
10,54.1086,1.27442,1.19788,1.15275,0.66939,0.71044,0.73432,0.45167,1.2463,1.06305,1.23109,0.00113863,0.00113863,0.00113863
11,58.7736,1.26339,1.16994,1.15708,0.77009,0.65832,0.74045,0.44721,1.25462,1.01014,1.252,0.00112625,0.00112625,0.00112625
12,63.523,1.27783,1.17306,1.17032,0.6985,0.64652,0.70757,0.44218,1.22684,1.13709,1.22339,0.00111388,0.00111388,0.00111388
13,68.8716,1.21652,1.08619,1.1473,0.7381,0.64509,0.73131,0.44747,1.28144,1.09938,1.23955,0.0011015,0.0011015,0.0011015
14,73.8919,1.24666,1.13754,1.16329,0.73683,0.6864,0.73622,0.45929,1.2648,0.9964,1.25341,0.00108913,0.00108913,0.00108913
15,78.9663,1.24766,1.09405,1.15824,0.73153,0.69916,0.76324,0.45427,1.30662,1.00669,1.28868,0.00107675,0.00107675,0.00107675
16,84.1752,1.22178,1.04423,1.14302,0.74992,0.72758,0.76398,0.4748,1.23125,1.00783,1.2214,0.00106437,0.00106437,0.00106437
17,89.5023,1.21344,1.04304,1.13243,0.71631,0.75342,0.79472,0.5062,1.20133,0.92527,1.19438,0.001052,0.001052,0.001052
18,94.4106,1.20037,1.03153,1.12985,0.73308,0.74827,0.78876,0.501,1.22203,0.89398,1.21217,0.00103962,0.00103962,0.00103962
19,99.2106,1.21331,1.00853,1.13276,0.76574,0.70748,0.79403,0.51031,1.21904,0.9062,1.19865,0.00102725,0.00102725,0.00102725
20,104.065,1.18119,1.0883,1.10198,0.67367,0.77655,0.79853,0.51676,1.20877,0.89907,1.18111,0.00101488,0.00101488,0.00101488
21,108.985,1.18557,1.01268,1.13082,0.77742,0.72343,0.79319,0.50483,1.202,0.90932,1.19372,0.0010025,0.0010025,0.0010025
22,113.913,1.16381,0.97395,1.1185,0.73733,0.75628,0.79307,0.49713,1.23443,0.95121,1.24091,0.000990125,0.000990125,0.000990125
23,118.784,1.15124,1.04131,1.09198,0.75743,0.73568,0.79223,0.52118,1.18015,0.96004,1.18816,0.00097775,0.00097775,0.00097775
24,123.733,1.16195,0.94573,1.11205,0.78419,0.73025,0.80414,0.51804,1.20333,0.85347,1.19676,0.000965375,0.000965375,0.000965375
25,128.671,1.1624,0.94315,1.11143,0.74754,0.75911,0.7948,0.51716,1.19701,0.87166,1.17928,0.000953,0.000953,0.000953
26,133.662,1.16446,0.92201,1.1162,0.71036,0.75896,0.77632,0.49862,1.21982,0.91744,1.19482,0.000940625,0.000940625,0.000940625
27,138.726,1.17334,0.94669,1.10866,0.80407,0.75008,0.82629,0.54257,1.17895,0.82464,1.18124,0.00092825,0.00092825,0.00092825
28,144.053,1.17118,0.92136,1.10666,0.76988,0.7601,0.80053,0.51412,1.2122,0.86697,1.19271,0.000915875,0.000915875,0.000915875
29,149.035,1.15614,0.90651,1.09593,0.80631,0.76581,0.82681,0.53623,1.17991,0.84665,1.19091,0.0009035,0.0009035,0.0009035
30,154.111,1.13821,0.93552,1.09293,0.75186,0.76159,0.80927,0.53464,1.1639,0.90757,1.1778,0.000891125,0.000891125,0.000891125
31,159.075,1.15296,0.88882,1.09722,0.82792,0.76001,0.82805,0.53602,1.18928,0.83276,1.17921,0.00087875,0.00087875,0.00087875
32,164.032,1.11957,0.85383,1.08626,0.78125,0.76763,0.82355,0.53963,1.20618,0.84842,1.19965,0.000866375,0.000866375,0.000866375
33,169.076,1.13631,0.85826,1.09248,0.79601,0.82164,0.86104,0.57222,1.16974,0.76474,1.16753,0.000854,0.000854,0.000854
34,174.162,1.11525,0.83979,1.07589,0.75915,0.76467,0.8042,0.52746,1.16465,0.81537,1.16928,0.000841625,0.000841625,0.000841625
35,179.249,1.12416,0.8371,1.09836,0.8214,0.77369,0.85226,0.57067,1.16361,0.75333,1.16634,0.00082925,0.00082925,0.00082925
36,184.422,1.13425,0.84767,1.09867,0.8013,0.77508,0.83577,0.54486,1.17361,0.78815,1.17566,0.000816875,0.000816875,0.000816875
37,189.785,1.1295,0.84482,1.07904,0.7744,0.77792,0.83868,0.55305,1.16569,0.79133,1.16794,0.0008045,0.0008045,0.0008045
38,195.028,1.11676,0.84558,1.08975,0.75476,0.78865,0.80982,0.54139,1.17046,0.83064,1.17315,0.000792125,0.000792125,0.000792125
39,200.281,1.1229,0.83539,1.08169,0.79397,0.78519,0.84973,0.56204,1.16,0.80952,1.16346,0.00077975,0.00077975,0.00077975
40,205.63,1.11718,0.83499,1.08006,0.78167,0.81769,0.84586,0.55632,1.1592,0.74741,1.16709,0.000767375,0.000767375,0.000767375
41,210.986,1.09376,0.79658,1.06955,0.80443,0.78701,0.83184,0.54874,1.16327,0.76267,1.16303,0.000755,0.000755,0.000755
42,216.383,1.10093,0.807,1.06789,0.80244,0.79726,0.83885,0.548,1.17188,0.76453,1.17305,0.000742625,0.000742625,0.000742625
43,221.795,1.09518,0.7864,1.06713,0.83559,0.75654,0.84107,0.54946,1.17598,0.76235,1.18472,0.00073025,0.00073025,0.00073025
44,227.192,1.09233,0.78644,1.06298,0.82704,0.80409,0.85799,0.57962,1.14215,0.72151,1.16657,0.000717875,0.000717875,0.000717875
45,232.674,1.1162,0.84345,1.09166,0.83899,0.78875,0.8563,0.57694,1.13753,0.7427,1.1553,0.0007055,0.0007055,0.0007055
46,238.839,1.06813,0.76346,1.05746,0.76443,0.83726,0.84846,0.57251,1.15591,0.74475,1.15878,0.000693125,0.000693125,0.000693125
47,244.289,1.07775,0.77249,1.06328,0.79393,0.81306,0.8511,0.57241,1.1342,0.7225,1.14183,0.00068075,0.00068075,0.00068075
48,249.809,1.06258,0.76218,1.05621,0.78491,0.81917,0.84547,0.5697,1.15298,0.73977,1.16434,0.000668375,0.000668375,0.000668375
49,255.287,1.07881,0.76586,1.05924,0.80331,0.79397,0.83462,0.55531,1.15328,0.73039,1.16249,0.000656,0.000656,0.000656
50,260.889,1.06794,0.75982,1.05274,0.79433,0.80445,0.85283,0.57615,1.13025,0.71012,1.14887,0.000643625,0.000643625,0.000643625
51,266.41,1.05498,0.7544,1.05092,0.80255,0.79762,0.8583,0.57058,1.14643,0.72902,1.16142,0.00063125,0.00063125,0.00063125
52,272.006,1.06503,0.75979,1.04976,0.83362,0.79769,0.85346,0.5697,1.13476,0.71661,1.15124,0.000618875,0.000618875,0.000618875
53,277.678,1.03549,0.73236,1.03856,0.84058,0.79865,0.85283,0.57786,1.13085,0.72458,1.1506,0.0006065,0.0006065,0.0006065
54,283.296,1.04291,0.73665,1.04201,0.77957,0.82493,0.84945,0.57177,1.12577,0.72929,1.14815,0.000594125,0.000594125,0.000594125
55,288.998,1.06439,0.75062,1.05104,0.82687,0.79202,0.84916,0.56943,1.13718,0.74127,1.15056,0.00058175,0.00058175,0.00058175
56,294.617,1.04587,0.73284,1.0474,0.81397,0.80913,0.85681,0.58305,1.12252,0.72477,1.14849,0.000569375,0.000569375,0.000569375
57,300.3,1.03083,0.72156,1.03971,0.83318,0.79653,0.8545,0.58029,1.12254,0.72001,1.14692,0.000557,0.000557,0.000557
58,305.958,1.03463,0.77949,1.03464,0.81391,0.82083,0.85615,0.58563,1.12968,0.69411,1.14221,0.000544625,0.000544625,0.000544625
59,311.712,1.05446,0.72496,1.04775,0.78504,0.82868,0.86344,0.58678,1.12773,0.7142,1.1626,0.00053225,0.00053225,0.00053225
60,317.362,1.01192,0.70404,1.02984,0.85278,0.79578,0.86312,0.5941,1.12117,0.71317,1.13978,0.000519875,0.000519875,0.000519875
61,323.117,1.03953,0.70127,1.0323,0.85586,0.77723,0.86226,0.58441,1.11771,0.70355,1.14369,0.0005075,0.0005075,0.0005075
62,328.907,1.03442,0.70185,1.04117,0.83886,0.80346,0.87454,0.59146,1.12626,0.68178,1.14506,0.000495125,0.000495125,0.000495125
63,334.696,1.01159,0.69688,1.02732,0.84776,0.77738,0.85928,0.5842,1.12821,0.71872,1.14759,0.00048275,0.00048275,0.00048275
64,340.531,1.02126,0.70339,1.03481,0.85377,0.78408,0.85765,0.58277,1.12279,0.70252,1.1501,0.000470375,0.000470375,0.000470375
65,346.306,1.02962,0.68145,1.03182,0.84722,0.7909,0.86359,0.59033,1.11321,0.69728,1.13554,0.000458,0.000458,0.000458
66,352.193,1.00784,0.71698,1.02757,0.81939,0.79022,0.85379,0.59081,1.11821,0.71707,1.13721,0.000445625,0.000445625,0.000445625
67,357.967,1.01797,0.69307,1.02228,0.84114,0.78276,0.86068,0.58827,1.13466,0.68304,1.14961,0.00043325,0.00043325,0.00043325
68,363.792,1.01126,0.68259,1.01712,0.83318,0.7946,0.85314,0.59273,1.10439,0.69208,1.1326,0.000420875,0.000420875,0.000420875
69,369.625,1.00964,0.67695,1.01994,0.84544,0.80442,0.86255,0.59676,1.10697,0.69051,1.13656,0.0004085,0.0004085,0.0004085
70,375.481,1.00666,0.66622,1.02549,0.79728,0.82485,0.86202,0.59746,1.10177,0.68216,1.13232,0.000396125,0.000396125,0.000396125
71,381.336,1.00064,0.67046,1.00585,0.84307,0.78571,0.85431,0.58951,1.10924,0.6918,1.14067,0.00038375,0.00038375,0.00038375
72,387.292,0.9849,0.65776,1.01179,0.82361,0.81971,0.85612,0.59297,1.0967,0.68802,1.13434,0.000371375,0.000371375,0.000371375
73,393.292,0.99143,0.67167,1.00761,0.82042,0.82257,0.86125,0.60367,1.09427,0.68086,1.12144,0.000359,0.000359,0.000359
74,399.25,0.97953,0.65234,1.00711,0.83667,0.80864,0.86497,0.60343,1.09192,0.68058,1.12295,0.000346625,0.000346625,0.000346625
75,405.224,0.97257,0.64119,1.00145,0.84122,0.83946,0.88344,0.60717,1.10391,0.66462,1.14105,0.00033425,0.00033425,0.00033425
76,411.222,0.98494,0.65944,1.01106,0.84042,0.80683,0.87338,0.60493,1.08569,0.67727,1.12804,0.000321875,0.000321875,0.000321875
77,417.176,0.9743,0.64142,1.01025,0.85128,0.79391,0.86776,0.60083,1.09745,0.68025,1.13493,0.0003095,0.0003095,0.0003095
78,423.033,0.97637,0.64724,1.0045,0.80586,0.83889,0.86362,0.60053,1.09477,0.66788,1.13065,0.000297125,0.000297125,0.000297125
79,429.021,0.9693,0.64187,0.99751,0.80198,0.84702,0.8748,0.61387,1.08489,0.65883,1.12931,0.00028475,0.00028475,0.00028475
80,435.055,0.95992,0.63894,0.99665,0.85821,0.81675,0.85925,0.60695,1.08186,0.66037,1.1204,0.000272375,0.000272375,0.000272375
81,440.998,0.93995,0.61157,0.9876,0.85349,0.82494,0.87563,0.61184,1.09642,0.66647,1.13291,0.00026,0.00026,0.00026
82,447.04,0.95434,0.61308,0.99665,0.85538,0.80965,0.87018,0.61446,1.07818,0.66416,1.12088,0.000247625,0.000247625,0.000247625
83,453.174,0.94204,0.61637,0.99164,0.83796,0.8442,0.8745,0.61013,1.08778,0.66025,1.1324,0.00023525,0.00023525,0.00023525
84,459.126,0.95768,0.62823,0.99609,0.83867,0.83955,0.87255,0.60787,1.07502,0.64575,1.12506,0.000222875,0.000222875,0.000222875
85,465.061,0.93402,0.61242,0.99548,0.81066,0.83003,0.87566,0.60996,1.07506,0.65372,1.11613,0.0002105,0.0002105,0.0002105
86,471.456,0.93708,0.62424,0.98923,0.86356,0.80738,0.87541,0.6087,1.07779,0.65918,1.12414,0.000198125,0.000198125,0.000198125
87,477.396,0.94902,0.61521,1.00116,0.85272,0.8326,0.87383,0.60838,1.08205,0.65356,1.12458,0.00018575,0.00018575,0.00018575
88,483.436,0.94969,0.6124,0.99421,0.84038,0.82851,0.87842,0.61278,1.07454,0.64451,1.1206,0.000173375,0.000173375,0.000173375
89,489.429,0.90841,0.77463,0.97076,0.85548,0.81364,0.87336,0.60519,1.07605,0.6626,1.12348,0.000161,0.000161,0.000161
90,495.525,0.92711,0.61481,0.98098,0.81949,0.85573,0.88221,0.61647,1.08327,0.64713,1.12256,0.000148625,0.000148625,0.000148625
91,502.594,0.8555,0.49862,0.97939,0.8269,0.8421,0.87503,0.6113,1.07685,0.64294,1.12274,0.00013625,0.00013625,0.00013625
92,508.321,0.85124,0.48909,0.97121,0.84173,0.83305,0.87238,0.60895,1.08505,0.65457,1.12435,0.000123875,0.000123875,0.000123875
93,514.267,0.85063,0.49753,0.97502,0.8501,0.83011,0.87876,0.61451,1.07364,0.63426,1.12469,0.0001115,0.0001115,0.0001115
94,520.173,0.85028,0.51279,0.98408,0.84318,0.82501,0.87289,0.61125,1.07091,0.64424,1.12034,9.9125e-05,9.9125e-05,9.9125e-05
95,526.168,0.84719,0.47785,0.96568,0.83741,0.84201,0.87458,0.61156,1.07408,0.64308,1.12599,8.675e-05,8.675e-05,8.675e-05
96,532.206,0.83937,0.48104,0.96394,0.86093,0.82651,0.87727,0.61635,1.07342,0.6456,1.12067,7.4375e-05,7.4375e-05,7.4375e-05
97,538.242,0.83319,0.47608,0.96383,0.86778,0.82686,0.87907,0.61506,1.06279,0.64042,1.11847,6.2e-05,6.2e-05,6.2e-05
98,544.282,0.8258,0.4677,0.96329,0.86373,0.82301,0.88225,0.62015,1.06066,0.63783,1.1179,4.9625e-05,4.9625e-05,4.9625e-05
99,550.324,0.82032,0.48149,0.95955,0.86028,0.82842,0.88022,0.61825,1.06218,0.63795,1.11909,3.725e-05,3.725e-05,3.725e-05
100,556.239,0.82012,0.46496,0.96015,0.85419,0.83385,0.87962,0.62017,1.06323,0.6356,1.12059,2.4875e-05,2.4875e-05,2.4875e-05
